Name of Institution,JAMB CUTOFF MARK
"SULE LAMIDO UNIVERSITY, KAFIN HAUSA, JIGAWA STATE",160
"SUMMIT UNIVERSITY, OFFA, KWARA STATE",160
"TAI SOLARIN UNIVERSITY OF EDUCATION, IJAGUN, OGUN STATE",170
"TANSIAN UNIVERSITY, OBA, ANAMBRA STATE",160
"TARABA STATE UNIVERSITY, JALINGO, TARABA STATE",160
"THE APOSTOLIC CHURCH THEOLOGICAL SEMINARY, AMUMARA (AFFL
TO UNIV OF UYO)",160
"THE SAMUEL BILL THEOLOGICAL COLLEGE, ABAK, AKWA IBOM
STATE.(AFFL TO UNIV OF UYO)",160
"TRINITY UNIVERSITY, YABA, LAGOS STATE",160
"UMARU MUSA YARADUA UNIVERSITY, KATSINA, KATSINA STATE",170
"UNIVERSITY OF ABUJA, ABUJA, FCT",180
"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",160
"UNIVERSITY OF BENIN, BENIN CITY, EDO STATE",200
"UNIVERSITY OF CALABAR, CALABAR, CROSS RIVER STATE",160
"UNIVERSITY OF IBADAN, IBADAN, OYO STATE",200
"UNIVERSITY OF ILORIN, ILORIN, KWARA STATE",180
"UNIVERSITY OF JOS, JOS, PLATEAU STATE",180
"UNIVERSITY OF LAGOS, LAGOS STATE",200
"UNIVERSITY OF MAIDUGURI, BORNO STATE",160
"UNIVERSITY OF MKAR, GBOKO, BENUE STATE",160
"UNIVERSITY OF NIGERIA NSUKKA, ENUGU STATE",180
"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",180
"UNIVERSITY OF UYO, AKWA IBOM STATE",180
"USMANU DANFODIO UNIVERSITY, SOKOTO, SOKOTO STATE",160
"VERITAS UNIVERSITY, ABUJA, FCT",170
"WELLSPRING UNIVERSITY, EVBUOBANOSA, BENIN CITY, EDO STATE",160
"WESLEY UNIVERSITY, ONDO, ONDO STATE",160
"WESTERN DELTA UNIVERSITY, OGHARA, DELTA STATE",160
"WESTLAND UNIVERSITY, IWO, OSUN STATE",160
"WORLD HARVEST BIBLE COLLEGE AND SEMINARY, CALABAR (AFFL TO
UNICAL)",160
"YOBE STATE UNIVERSITY, DAMATURU, YOBE STATE",160
"YUSUF MAITAMA SULE UNIVERSITY, KANO, KANO STATE",160
"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",160
